id,year,g,treat,d,y
1,2000,2006,0,0,-0.202237065742082
1,2001,2006,0,0,0.718514908301609
1,2002,2006,0,0,0.896172283870843
1,2003,2006,0,0,1.00923803382949
1,2004,2006,0,0,0.215123494982226
1,2005,2006,0,0,0.247861515759275
1,2006,2006,1,3,1.70011716128455
1,2007,2006,1,3,2.91000838462473
1,2008,2006,1,3,2.75092418058184
1,2009,2006,1,3,3.53158785198257
1,2010,2006,1,3,3.92930719048943
1,2011,2006,1,3,4.06901525904189
1,2012,2006,1,3,4.83349991983257
2,2000,Inf,0,0,-1.60286061241007
2,2001,Inf,0,0,-0.453160756838212
2,2002,Inf,0,0,-0.278231885273075
2,2003,Inf,0,0,0.0138362200815197
2,2004,Inf,0,0,-1.60929117787947
2,2005,Inf,0,0,-1.15724159546125
2,2006,Inf,0,0,-1.62540031719262
2,2007,Inf,0,0,0.28615517001727
2,2008,Inf,0,0,-0.92163429769066
2,2009,Inf,0,0,-0.436312589597924
2,2010,Inf,0,0,-0.21621852586706
2,2011,Inf,0,0,-0.410028789920367
2,2012,Inf,0,0,0.00598763992029766
3,2000,Inf,0,0,0.234282112806497
3,2001,Inf,0,0,0.462207825266026
3,2002,Inf,0,0,0.463120762772731
3,2003,Inf,0,0,0.38047754568863
3,2004,Inf,0,0,0.905085684170186
3,2005,Inf,0,0,0.633175839126328
3,2006,Inf,0,0,1.73522431796648
3,2007,Inf,0,0,1.076130138164
3,2008,Inf,0,0,-0.20698497019269
3,2009,Inf,0,0,1.89901252608174
3,2010,Inf,0,0,0.492544871857336
3,2011,Inf,0,0,0.623470026841182
3,2012,Inf,0,0,0.592094578983436
4,2000,Inf,0,0,1.11556422570071
4,2001,Inf,0,0,1.76102329312237
4,2002,Inf,0,0,1.71523298538742
4,2003,Inf,0,0,1.22745423457421
4,2004,Inf,0,0,0.843144867204411
4,2005,Inf,0,0,1.81987917351976
4,2006,Inf,0,0,2.38199968769196
4,2007,Inf,0,0,1.65800347040995
4,2008,Inf,0,0,1.1965249751107
4,2009,Inf,0,0,1.88779970697369
4,2010,Inf,0,0,2.52220491683984
4,2011,Inf,0,0,2.25664632895153
4,2012,Inf,0,0,1.63612627913509
5,2000,2008,0,0,2.13658800336895
5,2001,2008,0,0,2.09599628576697
5,2002,2008,0,0,2.04093771492827
5,2003,2008,0,0,1.5635513457626
5,2004,2008,0,0,2.12593657604686
5,2005,2008,0,0,2.48056288829137
5,2006,2008,0,0,1.58435166398662
5,2007,2008,0,0,3.36243868984296
5,2008,2008,1,3,3.61365356173693
5,2009,2008,1,3,3.0810871555295
5,2010,2008,1,3,3.87298242230053
5,2011,2008,1,3,4.98674705502261
5,2012,2008,1,3,5.44574199520597
6,2000,Inf,0,0,0.0744245314804604
6,2001,Inf,0,0,1.39753521971083
6,2002,Inf,0,0,-0.309650023230842
6,2003,Inf,0,0,0.618496335493292
6,2004,Inf,0,0,0.791296532570069
6,2005,Inf,0,0,0.841218661969548
6,2006,Inf,0,0,0.225343589304455
6,2007,Inf,0,0,0.65858450124892
6,2008,Inf,0,0,1.14768824215361
6,2009,Inf,0,0,1.42588108825365
6,2010,Inf,0,0,1.04983990516902
6,2011,Inf,0,0,1.40464021016287
6,2012,Inf,0,0,1.62714244913595
7,2000,Inf,0,0,1.97706642136112
7,2001,Inf,0,0,1.94208238372315
7,2002,Inf,0,0,2.00288637594966
7,2003,Inf,0,0,1.88888924738217
7,2004,Inf,0,0,1.98049074957073
7,2005,Inf,0,0,2.80640368475513
7,2006,Inf,0,0,3.24508434832474
7,2007,Inf,0,0,2.77084435584313
7,2008,Inf,0,0,2.74242102242063
7,2009,Inf,0,0,2.86507198297861
7,2010,Inf,0,0,2.84765470893851
7,2011,Inf,0,0,3.45049955453106
7,2012,Inf,0,0,3.55517362196439
8,2000,Inf,0,0,1.69623049098614
8,2001,Inf,0,0,1.09332555425042
8,2002,Inf,0,0,1.98938504126099
8,2003,Inf,0,0,2.30716175540492
8,2004,Inf,0,0,1.252555117597
8,2005,Inf,0,0,2.16554150197554
8,2006,Inf,0,0,2.06255537120568
8,2007,Inf,0,0,1.98443080147024
8,2008,Inf,0,0,2.0623028687463
8,2009,Inf,0,0,3.01852268841846
8,2010,Inf,0,0,2.50896605098718
8,2011,Inf,0,0,2.11613492900007
8,2012,Inf,0,0,2.42953268999804
9,2000,2008,0,0,1.10009956430732
9,2001,2008,0,0,-0.129203430086587
9,2002,2008,0,0,0.634724659654327
9,2003,2008,0,0,1.57047133866997
9,2004,2008,0,0,1.4597963537967
9,2005,2008,0,0,1.6083549209177
9,2006,2008,0,0,1.87660557960083
9,2007,2008,0,0,2.05735610865109
9,2008,2008,1,1,3.14086288747352
9,2009,2008,1,1,1.85609377570902
9,2010,2008,1,1,2.84085276873623
9,2011,2008,1,1,2.79696045606467
9,2012,2008,1,1,4.54794258065364
10,2000,2004,0,0,0.465682800666618
10,2001,2004,0,0,0.604257419060375
